	compd_KS_count	KS1	KS2	KS3	KS4	KS5	KS6	KS7	KS8	KS9	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS28	KS29	KS30	KS31	KS32	KS33	KS34	KS35	KS36	KS37	KS38	KS1b	KS2b	KS3b	KS4b	KS5b	KS6b	KS7b
9-methylstreptimidone|FR878059	5	IV_b	II_c4	V	VI_c	XI_b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
albicidin|AJ586576	2	IV_a	II_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bacillaene_Bamy|AJ634060	14	I_a	VIII	III_h	II_c1	II_c3	II_g	III_h	II_c1	II_d	I_a	VIII	VIII	III_d	III_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bacillaene_Bsub|AL009126	15	I_a	VIII	III_h	II_c1	II_c3	II_g	III_h	II_c1	II_d	III_f	I_a	VIII	VIII	III_d	III_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bacillomycin|AY137375	1	XVII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
basiliskamides|NZ_AXBT01000013	5	IV_b	XI_b	XI_b	VI_c	III_g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bongkrekic_acid|JX173632	12	noInfo	II_g	XI_b	VI_f	II_c3	III_h	II_c3	VIII	II_c3	XI_b	II_c3	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bryostatin|DQ889941	16	IV_e	VI_f	VI_c	XIII	XI_b	II_c3	VI_f	XIII	IX	XI_b	III_b	VI_f	VI_c	IV_b	II_c3	III_e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chivosazole|DQ065771	17	NA	noInfo	XI_c	XI_a	XVIII	II_c5	II_d	VI_a	VI_d	III_c	II_c2	XVIII	II_c5	XI_b	II_d	XVIII	II_c5	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corallopyronin|HM071004	14	noInfo	I_b	noInfo	NA	II_d	noInfo	IV_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IV_d	II_f	noInfo	noInfo	noInfo	XIV	II_d
cycloheximide|JX014302	5	IV_b	II_c4	V	VI_c	XI_b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
diaphorin|CP003468	11	IV_b	VI_c	XII_b	III_a	I_a	VI_c	XV	IX	VI_f	VII	VIII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
difficidin|AJ634062	14	II_f	II_d	VIII	VI_c	III_h	II_c1	II_d	VI_f	VIII	III_g	II_c5	III_h	II_c3	XI_b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
disorazole|DQ013294	10	IV_d	II_f	XI_a	noInfo	II_e	II_e	II_c5	III_d	III_c	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
