	compd_KS_count	KS1	KS2	KS3	KS4	KS5	KS6	KS7	KS8	KS9	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS28	KS29	KS30	KS31	KS32	KS33	KS34	KS35	KS36	KS37	KS38	KS1b	KS2b	KS3b	KS4b
9-methylstreptimidone|FR878059	5	Clade_6	Clade_61	Clade_39	Clade_52	Clade_96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
albicidin|AJ586576	2	Clade_10	Clade_46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bacillaene_Bamy|AJ634060	14	Clade_1	Clade_12	Clade_3	Clade_69	Clade_64	Clade_82	Clade_3	Clade_69	Clade_47	Clade_1	Clade_12	Clade_12	Clade_72	Clade_33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bacillaene_Bsub|AL009126	15	Clade_1	Clade_12	Clade_3	Clade_69	Clade_64	Clade_82	Clade_3	Clade_69	Clade_47	Clade_79	Clade_1	Clade_12	Clade_12	Clade_72	Clade_33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bacillomycin|AY137375	1	clade_not_conserved	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
basiliskamides|NZ_AXBT01000013	5	Clade_8	Clade_95	Clade_95	Clade_100	Clade_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bongkrekic_acid|JX173632	12	Clade_40	Clade_82	Clade_93	Clade_78	Clade_64	Clade_3	Clade_64	Clade_18	Clade_64	Clade_93	Clade_64	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bryostatin|DQ889941	16	Clade_45	Clade_78	Clade_59	Clade_87	Clade_95	Clade_62	Clade_78	Clade_87	Clade_25	Clade_95	Clade_60	Clade_78	Clade_59	Clade_8	Clade_62	Clade_86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
calyculin|AB933566	30	clade_not_conserved	Clade_1	Clade_14	Clade_34	Clade_1	Clade_95	Clade_33	Clade_75	Clade_44	Clade_62	Clade_36	Clade_32	Clade_13	Clade_80	Clade_60	Clade_83	Clade_95	Clade_35	Clade_53	Clade_60	Clade_83	Clade_80	Clade_80	clade_not_conserved	Clade_82	Clade_62	Clade_33	Clade_1	Clade_72	Clade_5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chivosazole|DQ065771	17	NA	Clade_22	Clade_91	Clade_85	Clade_4	Clade_66	Clade_48	Clade_29	Clade_49	Clade_75	Clade_44	Clade_4	Clade_68	clade_not_conserved	Clade_48	Clade_4	Clade_66	Clade_73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corallopyronin|HM071004	7	Clade_41	Clade_20	Clade_26	Clade_21	Clade_48	Clade_27	Clade_41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cycloheximide|JX014302	5	Clade_6	Clade_61	Clade_39	Clade_52	Clade_96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
diaphorin|CP003468	11	Clade_8	Clade_57	Clade_88	Clade_34	Clade_1	Clade_58	Clade_80	Clade_23	Clade_78	Clade_11	Clade_13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
difficidin|AJ634062	14	Clade_42	Clade_47	Clade_12	Clade_100	Clade_3	Clade_69	Clade_47	Clade_78	Clade_12	Clade_4	Clade_65	Clade_3	Clade_62	Clade_95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
disorazole|DQ013294	10	Clade_41	Clade_42	Clade_85	clade_not_conserved	Clade_43	Clade_43	Clade_66	clade_not_conserved	Clade_75	Clade_73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dorrigocin_migrastatin|GQ274953	10	Clade_6	Clade_61	Clade_39	Clade_52	Clade_96	Clade_63	Clade_96	Clade_96	Clade_16	Clade_16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
elansolid_Cpin|CP001699	14	Clade_10	Clade_47	Clade_95	Clade_95	Clade_63	Clade_82	Clade_4	Clade_65	Clade_79	Clade_63	Clade_56	Clade_78	Clade_47	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
elansolid_Csan|HQ680975	14	Clade_10	Clade_47	Clade_95	Clade_95	Clade_63	Clade_82	Clade_4	Clade_65	Clade_79	Clade_63	Clade_56	Clade_78	Clade_47	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
enacyloxin|CP000442	9	NA	Clade_40	Clade_40	Clade_40	Clade_40	NA	Clade_40	Clade_40	Clade_40	Clade_40	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
etnangien|NC_010162	20	Clade_6	Clade_87	clade_not_conserved	Clade_64	Clade_64	Clade_64	Clade_82	Clade_96	Clade_56	Clade_79	clade_not_conserved	Clade_79	Clade_83	Clade_4	Clade_41	Clade_64	clade_not_conserved	Clade_56	Clade_56	Clade_79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
griseoviridin|JX508597	7	Clade_9	Clade_48	Clade_2	Clade_66	Clade_81	Clade_51	Clade_75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iturin|AB050629	1	clade_not_conserved	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kalimantacin_batumin|GU479979	11	Clade_8	clade_not_conserved	Clade_78	Clade_56	Clade_87	Clade_64	Clade_3	Clade_70	Clade_17	Clade_87	Clade_87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kirromycin|AM746336	12	Clade_9	no_clade	Clade_66	Clade_22	Clade_22	Clade_7	Clade_66	Clade_66	Clade_22	Clade_29	Clade_4	Clade_66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lankacidin|NC_004808	5	Clade_37	Clade_48	Clade_66	Clade_37	Clade_89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
legioliulin|NZ_CM001371	5	clade_not_conserved	Clade_65	Clade_29	Clade_71	Clade_40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leinamycin|AF484556	7	Clade_75	Clade_44	no_clade	Clade_66	Clade_89	Clade_48	Clade_21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
luminaolid|KR857272	18	Clade_30	Clade_27	Clade_49	Clade_81	Clade_65	Clade_90	Clade_80	Clade_85	Clade_78	Clade_80	Clade_60	Clade_83	Clade_59	Clade_3	Clade_69	Clade_23	Clade_59	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrolactin|AJ634061	11	Clade_41	clade_not_conserved	Clade_26	Clade_65	Clade_65	Clade_29	Clade_65	Clade_4	Clade_65	Clade_65	Clade_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
malleilactone_burkholderic_acid|NC_007650	2	Clade_2	Clade_46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
misakinolide|KR857273	19	Clade_41	Clade_29	Clade_49	Clade_81	clade_not_conserved	Clade_90	Clade_80	Clade_85	Clade_78	Clade_80	Clade_60	Clade_83	Clade_59	Clade_3	Clade_69	Clade_23	Clade_59	Clade_47	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mycosubtilin|AF184956	1	clade_not_conserved	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
myxovirescin|CP000113	12	clade_not_conserved	clade_not_conserved	clade_not_conserved	Clade_53	Clade_16	Clade_82	Clade_64	Clade_87	Clade_18	Clade_16	Clade_17	Clade_95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nosperin|GQ979609	8	Clade_8	Clade_57	Clade_88	Clade_34	Clade_1	Clade_72	Clade_5	Clade_60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
onnamide|AY688304	12	Clade_8	Clade_57	Clade_88	Clade_34	Clade_1	Clade_58	Clade_80	Clade_23	Clade_78	Clade_72	Clade_5	Clade_62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oocydin_Ddad|CP001654	16	Clade_92	Clade_88	Clade_11	Clade_82	Clade_35	Clade_77	Clade_78	Clade_25	Clade_15	Clade_33	Clade_98	Clade_15	Clade_80	Clade_69	Clade_79	Clade_86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
