DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Contig edge
COLOR,#ff0000
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
OUTGROUP_2qo3|chainA_EryKS3,-1
OUTGROUP_2hg4|chainA_EryKS5,-1
Streptomyces sp NRRL S-4|LGKJ01000145|c1,1
Bacillus sp 916|AFSU01000082|c1,1
Massilia sp NR 4-1|CP012201|c7,-1
Pelosinus fermentans A11|AKVM01000011|c1,1
Pelosinus fermentans DSM 17108|AKVN01000065|c2,1
Pelosinus fermentans B4|AKVJ01000002|c2,1
Streptomyces albulus ZPM|CP006871|c18,-1
Clostridium straminisolvens JCM 21531|BAVR01000001|c1,-1
Clostridium termitidis CT1112|AORV01000026|c1,-1
Streptomyces coelicoflavus ZG0656|AHGS01001228|c1,1
Streptomyces acidiscabies|JPPY01000183|c1,-1
Streptomyces sp NRRL WC-3753|LGKF01001480|c1,1
Streptomyces albulus PD-1|AXDB02000045|c1,1
disorazole,-1
Sorangium cellulosum|DQ013294|c1,-1
Sorangium cellulosum|AJ874112|c1,-1
Streptomyces albus|EF552687|c1,-1
Streptomyces bingchenggensis BCW-1|CP002047|c42,-1
oxazolomycin,-1
Streptomyces albulus CCRC 11814|AROY02000065|c1,1
Streptomyces albulus|CP007574|c18,-1
Saccharomonospora azurea SZMC 14600|AHBX01000215|c1,-1
Saccharomonospora azurea SZMC 14600|AHBX01000119|c1,1
Saccharomonospora azurea NA-128|CM001466|c4,-1
Peptococcaceae bacterium BICA1-7|JUEB01000024|c1,1
Xanthomonas campestris pv cannabis|JSZF01000100|c1,1
Xanthomonas campestris pv cannabis|JSZE01000115|c1,1
Pelosinus fermentans B4|AKVJ01000015|c1,1
Bacillus amyloliquefaciens UASWS BA1|AWQY01000006|c1,1
Bacillus amyloliquefaciens|JQNZ01000019|c1,1
Bacillus sp LK7|LDUN01000016|c1,1
Bacillus velezensis|JYGH01000021|c1,1
Bacillus amyloliquefaciens|JZDI01000007|c1,1
Bacillus amyloliquefaciens|JUDU01000017|c1,1
Bacillus subtilis|CP009684|c15,1
Bacillus velezensis|LGAU01000002|c1,1
Bacillus sp 916|AFSU01000026|c1,1
Xanthomonas albilineans GPE PC73|FP565176|c6,-1
albicidin,-1
Xanthomonas albilineans|AJ586576|c1,-1
Streptomyces aurantiacus JA 4570|AOPZ01000159|c1,1
Clostridium papyrosolvens DSM 2782|ACXX02000026|c1,1
Candidatus Profftella armatura|CP003468|c1,-1
Candidatus Profftella armatura|CP012591|c1,-1
symbiont bacterium of Paederus fuscipes Bacteria|AY426537|c1,1
Xenorhabdus bovienii str Intermedium|CBTB010000186|c1,1
Xenorhabdus bovienii str kraussei Quebec|CBSY010000216|c1,1
Paenibacillus polymyxa|JYCW01000006|c1,1
Xanthomonas axonopodis pv phaseoli|JSEZ02000003|c1,-1
Xanthomonas axonopodis pv phaseoli|JWTD02000065|c1,-1
Xanthomonas axonopodis pv phaseoli|JWTE02000034|c1,-1
Brevibacillus laterosporus PE36|AXBT01000013|c1,-1
Brevibacillus laterosporus GI-9|CAGD01000027|c1,-1
Brevibacillus laterosporus LMG 15441|CP007806|c5,-1
Brevibacillus laterosporus|CP011076|c1,-1
basiliskamides,-1
Burkholderia mallei|JPGJ01000003|c2,-1
Burkholderia gladioli|JRGO01000053|c1,-1
Bacillus sp FJAT-27238|LGJF01000001|c2,-1
Brevibacillus brevis|LDZV01000001|c11,-1
griseoviridin,-1
Streptomyces virginiae|AB283030|c1,1
virginiamycin,-1
Frankia sp R43|LFCW01000013|c1,-1
Frankia sp EUN1f|ADGX01000046|c1,1
Dickeya chrysanthemi|JRWY01000058|c1,1
Teredinibacter turnerae T7901|CP001614|c3,-1
Collimonas arenae|CP009962|c4,-1
Cedecea neteri|CP009460|c9,-1
Xanthomonas sp NCPPB1128|LFME01000001|c1,-1
Dickeya solani D s0432-1|AMWE01000004|c1,-1
Dickeya zeae Ech586|CP001836|c3,-1
Bacillus sp 916|AFSU01000070|c1,1
Bacillus amyloliquefaciens|LGYP01000009|c1,-1
Kordia algicida OT-1|ABIB01000020|c1,1
Bacillus subtilis|CYHO01000023|c1,1
Bacillus amyloliquefaciens|JUDU01000063|c1,1
macrolactin,-1
Bacillus velezensis TrigoCor1448|CP007244|c5,-1
Bacillus amyloliquefaciens LFB112|CP006952|c6,-1
Bacillus cereus|CYHI01000723|c1,1
Bacillus velezensis M27|AMPK01000010|c3,-1
Bacillus velezensis|CP009679|c6,-1
Bacillus sp Pc3|CP010406|c3,-1
Bacillus velezensis|CP011347|c8,-1
Bacillus velezensis|CP011346|c7,-1
Bacillus amyloliquefaciens KHG19|CP007242|c5,-1
Bacillus velezensis UCMB5113|HG328254|c5,-1
Bacillus velezensis|LGAT01000003|c3,-1
Bacillus velezensis|JTKJ02000002|c1,-1
Bacillus sp LK7|LDUN01000002|c2,-1
Bacillus velezensis CAU B946|HE617159|c6,-1
Bacillus velezensis|LHCC01000002|c2,-1
Bacillus subtilis|CP009749|c6,-1
Bacillus amyloliquefaciens UASWS BA1|AWQY01000002|c3,-1
Streptococcus pneumoniae|CQZO01000001|c3,-1
Bacillus velezensis FZB42|AJ634061|c1,-1
Bacillus velezensis|CP011686|c5,-1
Bacillus amyloliquefaciens|JQNZ01000020|c4,-1
Bacillus velezensis NAU-B3|HG514499|c8,-1
Bacillus amyloliquefaciens subsp plantarum str FZB42|CP000560|c6,-1
Bacillus velezensis UCMB5033|HG328253|c6,-1
Bacillus velezensis|LGAU01000003|c3,-1
Bacillus velezensis NJN-6|CP007165|c6,-1
Bacillus subtilis subsp inaquosorum KCTC 13429|AMXN01000003|c3,-1
Bacillus amyloliquefaciens|CYHL01000044|c1,-1
