DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Contig edge
COLOR,#ff0000
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
OUTGROUP_2qo3|chainA_EryKS3,-1
OUTGROUP_2hg4|chainA_EryKS5,-1
Paenibacillus curdlanolyticus YK9|AEDD01000016|c1,-1
Bacillus amyloliquefaciens LFB112|CP006952|c1,-1
Paenibacillus graminis|CP009287|c2,-1
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1|ACNI01000155|c1,-1
Bacillus amyloliquefaciens|CYHP01000026|c1,-1
Streptococcus mutans U2A|AHSU01000032|c1,-1
Streptococcus mutans 4VF1|AHRQ01000034|c1,-1
Streptococcus mutans 4SM1|AHRL01000038|c1,-1
Streptococcus mutans NLML8|AHSV01000055|c1,-1
Streptococcus mutans 1SM1|AHRK01000020|c1,-1
Paenibacillus sp FSL R7-269|ASPS01000080|c1,-1
Paenibacillus pini JCM 16418|BAVZ01000001|c1,-1
Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933|LGTC01000001|c1,-1
Clostridium papyrosolvens DSM 2782|ACXX02000005|c1,-1
Lysinibacillus sp FJAT-14745|LITM01000006|c1,-1
Streptococcus mutans 15VF2|AHRR01000004|c1,-1
Clostridium papyrosolvens C7|ATAY01000026|c1,-1
Bacillus amyloliquefaciens|CYHL01000042|c1,-1
Paenibacillus sp HGH0039|AGEN01000003|c1,-1
Brevibacillus brevis|KC771276|c1,-1
Brevibacillus sp BC25|AKIX01000103|c1,-1
Paenibacillus sp FSL R7-277|ASPX01000069|c1,1
Streptococcus mutans N34|AHSF01000009|c1,-1
Paenibacillus polymyxa|JTHO01000016|c1,-1
Brevibacillus laterosporus GI-9|CAGD01000004|c1,-1
Brevibacillus laterosporus|CP011076|c7,-1
Paenibacillus riograndensis SBR5|LN831776|c4,-1
Clostridium cellulolyticum H10|CP001348|c4,1
Paenibacillus polymyxa|CP009909|c8,-1
Paenibacillus peoriae|CP011512|c3,-1
Paenibacillus sp FSL R5-192|ASPR01000003|c1,1
Streptococcus mutans 1ID3|AHSX01000010|c1,-1
Lactococcus lactis subsp lactis KF147|CP001834|c1,-1
Paenibacillus polymyxa SQR-21|CP006872|c3,-1
Streptococcus mutans SA38|AHRD01000030|c1,-1
Bacillus velezensis NJN-6|CP007165|c1,-1
Streptococcus mutans SM1|AHTD01000020|c1,-1
Brevibacillus brevis|LDZV01000001|c5,-1
Clostridium kluyveri DSM 555|CP000673|c2,-1
Paenibacillus sp Leaf72|LMLV01000031|c1,1
Brevibacillus formosus|LDCN01000001|c2,-1
Bacillus amyloliquefaciens|LJAU01000034|c2,-1
Paenibacillus polymyxa|JYCW01000002|c1,-1
Streptococcus mutans NLML5|AHSI01000007|c1,-1
Clostridium clariflavum DSM 19732|CP003065|c2,-1
Bacillus sp FJAT-27238|LGJF01000001|c7,-1
Streptococcus mutans NV1996|AHSN01000003|c1,-1
Paenibacillus polymyxa|JTHO01000007|c2,-1
Brevibacillus brevis NBRC 100599|AP008955|c5,-1
Paenibacillus polymyxa CR1|CP006941|c2,-1
Paenibacillus sp VT-400|LELF01000067|c7,-1
Paenibacillus polymyxa|JTHO01000003|c1,-1
Bacillus amyloliquefaciens|JUDU01000113|c1,-1
Streptococcus mutans SF14|AHSQ01000006|c1,-1
Streptococcus mutans LJ23|AP012336|c1,-1
Streptococcus mutans NCTC 11060|AOCC01000020|c1,-1
Lactococcus lactis subsp lactis NCDO 2118|CP009054|c1,-1
Clostridium kluyveri NBRC 12016|AP009049|c2,-1
Paenibacillus sp FSL R7-269|ASPS01000047|c1,-1
Paenibacillus alvei A6-6i-x|ATMS01000014|c1,-1
Brevibacillus laterosporus PE36|AXBT01000062|c2,-1
Clostridium sp BNL1100|CP003259|c1,-1
Clostridium sp BNL1100|CP003259|c3,-1
Brevibacillus sp Leaf182|LMPN01000003|c3,-1
Streptococcus mutans OMZ175|AHRI01000027|c1,-1
Paenibacillus sp HGF7|AFDH01000057|c1,-1
Paenibacillus sp ICGEB2008|AMQU01000007|c3,-1
Chitinophaga pinensis DSM 2588|CP001699|c6,-1
Streptococcus mutans 66-2A|AHTA01000017|c1,-1
Brevibacillus laterosporus LMG 15441|CP007806|c10,-1
Streptococcus mutans NLML1|AHSW01000002|c1,-1
Bacillus sp 916|AFSU01000082|c1,1
Massilia sp NR 4-1|CP012201|c7,-1
Xanthomonas campestris pv cannabis|JSZF01000100|c1,1
Xanthomonas campestris pv cannabis|JSZE01000115|c1,1
Peptococcaceae bacterium BICA1-7|JUEB01000024|c1,1
Mesorhizobium sp Root1471|LMFW01000001|c3,-1
Pseudogulbenkiania ferrooxidans EGD-HP2|AVPH01000086|c1,-1
Paenibacillus sp ICGEB2008|AMQU01000018|c1,-1
Streptomyces mutabilis|JNFQ01000003|c1,1
Sporomusa sp An4|CTRP01000002|c1,-1
Sporomusa ovata DSM 2662|ASXP01000005|c1,-1
Bacillus cereus BAG5X1-1|AHDJ01000055|c1,1
Xanthomonas albilineans GPE PC73|FP565176|c6,-1
albicidin,-1
Xanthomonas albilineans|AJ586576|c1,-1
Bacillus amyloliquefaciens UASWS BA1|AWQY01000006|c1,1
Bacillus sp LK7|LDUN01000016|c1,1
Bacillus velezensis|JYGH01000021|c1,1
Bacillus amyloliquefaciens|JZDI01000007|c1,1
Bacillus amyloliquefaciens|JQNZ01000019|c1,1
Bacillus amyloliquefaciens|JUDU01000017|c1,1
Bacillus subtilis|CP009684|c15,1
Bacillus velezensis|LGAU01000002|c1,1
Bacillus sp 916|AFSU01000026|c1,1
Streptomyces coelicoflavus ZG0656|AHGS01001228|c1,1
Nostoc punctiforme PCC 73102|CP001037|c12,-1
