	Leafname	GenbkID	KS_index	ClusterID	Clade
0	2hg4_chainA_EryKS5_OUTGROUP	2hg4_chainA_EryKS5_OUTGROUP	2hg4_chainA_EryKS5_OUTGROUP		Clade_40
1	2hg4_chainA_EryKS5_OUTGROUP|||||||||	2hg4_chainA_EryKS5_OUTGROUP	2hg4_chainA_EryKS5_OUTGROUP		Clade_40
2	2qo3_chainA_EryKS3_OUTGROUP	2qo3_chainA_EryKS3_OUTGROUP	2qo3_chainA_EryKS3_OUTGROUP		Clade_40
3	2qo3_chainA_EryKS3_OUTGROUP|||||||||	2qo3_chainA_EryKS3_OUTGROUP	2qo3_chainA_EryKS3_OUTGROUP		Clade_40
4	9-methylstreptimidone|FR878059|13158-32300|+||SmdI|CCC21123||KS1|KS1	9-methylstreptimidone	KS1	FR878059	Clade_6
5	9-methylstreptimidone|FR878059|13158-32300|+||SmdI|CCC21123||KS2|KS2	9-methylstreptimidone	KS2	FR878059	Clade_61
6	9-methylstreptimidone|FR878059|13158-32300|+||SmdI|CCC21123||KS3|KS3	9-methylstreptimidone	KS3	FR878059	Clade_39
7	9-methylstreptimidone|FR878059|13158-32300|+||SmdI|CCC21123||KS4|KS4	9-methylstreptimidone	KS4	FR878059	Clade_52
8	9-methylstreptimidone|FR878059|13158-32300|+||SmdI|CCC21123||KS5|KS5	9-methylstreptimidone	KS5	FR878059	Clade_93
9	9_methylstreptimidone_SmdI_1_KS1_unusualstarter_AMT	9_methylstreptimidone_SmdI_1_KS1_unusualstarter_AMT	9_methylstreptimidone_SmdI_1_KS1_unusualstarter_AMT		Clade_6
10	9_methylstreptimidone_SmdI_2_KS2_ozDB	9_methylstreptimidone_SmdI_2_KS2_ozDB	9_methylstreptimidone_SmdI_2_KS2_ozDB		Clade_61
11	9_methylstreptimidone_SmdI_3_KS3_vinylogous	9_methylstreptimidone_SmdI_3_KS3_vinylogous	9_methylstreptimidone_SmdI_3_KS3_vinylogous		Clade_39
12	9_methylstreptimidone_SmdI_4_KS4_eDB	9_methylstreptimidone_SmdI_4_KS4_eDB	9_methylstreptimidone_SmdI_4_KS4_eDB		Clade_52
13	9_methylstreptimidone_SmdI_KS5_5_a_D_Mebketo	9_methylstreptimidone_SmdI_KS5_5_a_D_Mebketo	9_methylstreptimidone_SmdI_KS5_5_a_D_Mebketo		Clade_93
