bgc_id	training_status	clade_nr	ks_nr
CSPA01000002|c4	F	3	3
AMPK01000010|c2	F	9	14
AMPK01000010|c3	F	5	10
JQEF01000031|c1	F	3	3
CSLL01000025|c1	F	2	3
CSKS01000021|c1	F	3	3
JQEG01000044|c1	F	3	3
CP009536|c12	F	7	10
ATJY01000023|c1	F	6	8
CFVS01000004|c2	F	8	10
CFWL01000020|c1	F	8	10
CP009283|c2	F	4	7
JQFM01000068|c1	F	8	11
JSZF01000096|c1	F	8	8
JMMV01000071|c4	F	9	11
CP012752|c14	F	1	3
CP009287|c2	F	2	8
ACXX02000026|c1	F	2	2
ADGX01000046|c1	F	3	5
CP007574|c8	F	1	2
CSPM01000019|c1	F	8	10
AWQV01000196|c1	F	1	2
CP010314|c5	F	10	16
CWJA01000021|c1	F	3	3
CIGX01000005|c3	F	3	3
ACXX02000003|c1	F	2	2
AJST01000001|c10	F	10	14
JPQN01000004|c5	F	7	10
JYBK01000021|c1	F	2	2
AZQS01000003|c3	F	10	16
CIBB01000020|c1	F	8	10
APNR01000005|c10	F	3	3
JPQK01000002|c1	F	3	4
CP012577|c11	F	8	11
CP004004|c8	F	8	11
JPVF01000008|c6	F	3	3
JPVF01000008|c1	F	8	11
CP006259|c2	F	4	13
JYBH01000001|c1	F	3	3
JALJ01000001|c1	F	5	6
LN831776|c1	F	2	12
CP009127|c11	F	8	11
JQFN01000035|c1	F	2	3
AJ634062|c1	T	11	14
CP009147|c10	F	8	10
CP009147|c12	F	2	3
CIBF01000016|c1	F	8	10
AQRA01000010|c1	F	9	16
CFKW01000004|c2	F	8	11
CP006745|c3	F	9	15
KT368179|c1	F	6	10
CSKC01000001|c5	F	8	11
JUEI01000002|c1	F	3	4
ACXX02000024|c1	F	6	6
CP009297|c10	F	8	11
CP000573|c9	F	8	11
CYHI01000667|c1	F	6	8
CP000573|c4	F	2	3
CP008754|c10	F	3	3
CP008754|c14	F	3	4
CP000154|c6	F	9	13
KT368180|c1	F	6	10
