#Leaf_name	Clade_name	Clade_desc
2hg4_chainA_EryKS5_OUTGROUP	Clade_40	cis-AT_PKS-like
2qo3_chainA_EryKS3_OUTGROUP	Clade_40	cis-AT_PKS-like
9_methylstreptimidone_SmdI_1_KS1_unusualstarter_AMT	Clade_6	unusual_Starter_AMT
9_methylstreptimidone_SmdI_2_KS2_ozDB	Clade_61	non_elongating_zDB
9_methylstreptimidone_SmdI_3_KS3_vinylogous	Clade_39	vinylogous_chain_branching
9_methylstreptimidone_SmdI_4_KS4_eDB	Clade_52	b_OH|eDB
9_methylstreptimidone_SmdI_KS5_5_a_D_Mebketo	Clade_96	b_keto|b_OH
FR901464_Fr9C_1_KS1_unusualstarter_lactate	Clade_45	lactate_Starter
FR901464_Fr9C_2_KS2_0bOH	Clade_60	non_elongating_b_OH
FR901464_Fr9C_3_KS3_0eDB	Clade_86	non_elongating_DB
FR901464_Fr9D_1_KS4_AAthr	no_clade	no_clade
FR901464_Fr9F_2_KS5_reda_L_Me	Clade_93	aMe_mostly_reduced
FR901464_Fr9F_3_KS6_pyran	Clade_24	pyran
FR901464_Fr9F_4_KS7_aMeeDB	Clade_46	aMe_eDB
FR901464_Fr9GH_1_KS8_eDB	Clade_62	eDB
FR901464_Fr9GH_2_KS10_exometh	no_clade	no_clade
FR901464_Fr9GH_3_KS9_b_D_OH	Clade_88	exometh
FR901464_Fr9I_1_KS11_0b_D_OH	Clade_36	non_elongating
FR901464_Fr9I_2_KS12_0pyran	Clade_24	pyran
SIA7248_SiaD_1_KS1_unusualStarter_lactate	Clade_45	lactate_Starter
SIA7248_SiaE_1_KS2_b_D_OH	Clade_78	b_L_OH
SIA7248_SiaE_2_KS3_b_L_OH	Clade_78	b_L_OH
SIA7248_SiaF_1_KS4_b_D_OH	Clade_78	b_L_OH
SIA7248_SiaF_2_KS5_b_D_OH	Clade_63	double_bonds
SIA7248_SiaF_3_KS6_b_D_OH	Clade_78	b_L_OH
SIA7248_SiaF_4_KS7_b_D_OH	Clade_78	b_L_OH
SIA7248_SiaG_1_KS8_bMeDB	Clade_82	b_MeeDB
SIA7248_SiaG_2_KS9_eDB	Clade_66	double_bonds
SIA7248_SiaG_3_KS10_eDB	Clade_64	eDB
SIA7248_SiaH_KS11_eDB	Clade_68	double_bonds
SIA7248_SiaH_KS12_bketo	Clade_71	b_keto
SIA7248_SiaI_1_KS13_2biMod_OH	Clade_40	cis-AT_PKS-like
albicidin_AlbI_1_KS1_aromaticStarter_AL	Clade_10	aromatic_Starter
albicidin_AlbI_2_KS2_aMeeDB	Clade_46	aMe_eDB
anthracimycin_AtcD_1_KS1_acetylStarter	Clade_41	acetyl_Starter
anthracimycin_AtcD_2_KS2_bOH	Clade_50	b_OH
anthracimycin_AtcD_3_KS3_eDB	Clade_28	eDB
anthracimycin_AtcD_4_KS4_aMezshDB	Clade_91	mostly_shifted_DB
anthracimycin_AtcE_KS5_eDB	Clade_66	double_bonds
anthracimycin_AtcE_KS6_eDB	Clade_66	double_bonds
anthracimycin_AtcE_KS7_redaMe	Clade_89	b_keto
anthracimycin_AtcF_1_KS8_shDB	Clade_91	mostly_shifted_DB
anthracimycin_AtcF_2_KS9_eDB_DA	Clade_66	double_bonds
anthracimycin_AtcF_3_KS10_bketo	Clade_29	b_OH|keto
bacillaene_Bamy_BaeJ_1_KS1_Agly	Clade_1	amino_acids
bacillaene_Bamy_BaeJ_2_KS2_red	Clade_12	reduced|shifted_double_bonds
bacillaene_Bamy_BaeJ_3_KS3_0Hbimod_bOH	Clade_3	bimod_bOH
bacillaene_Bamy_BaeL_1_KS4_zD	Clade_69	zDB
bacillaene_Bamy_BaeL_2_KS5_eD	Clade_64	eDB
bacillaene_Bamy_BaeL_3_KS6_bMeeDB	Clade_82	b_MeeDB
bacillaene_Bamy_BaeL_4_KS7_0Hbimod_bOH	Clade_3	bimod_bOH
bacillaene_Bamy_BaeM_1_KS8_zDB	Clade_69	zDB
bacillaene_Bamy_BaeM_2_KS9_zDBaMe	Clade_47	aMe_eDB
bacillaene_Bamy_BaeN_1_KS10_AAala	Clade_1	amino_acids
bacillaene_Bamy_BaeN_2_KS11_shDB	Clade_12	reduced|shifted_double_bonds
bacillaene_Bamy_BaeN_3_KS12_shDB	Clade_12	reduced|shifted_double_bonds
bacillaene_Bamy_BaeR_1_KS13_0aMeDB	Clade_72	non_elongating_aMeeDB
bacillaene_Bamy_BaeR_2_KS14_0shDBMe	Clade_33	non_elongating
bacillaene_Bsub_PksJ_1_KS1_AAgly	Clade_1	amino_acids
bacillaene_Bsub_PksJ_2_KS2_red	Clade_12	reduced|shifted_double_bonds
bacillaene_Bsub_PksJ_3_KS3_OHbimod_OH	Clade_3	bimod_bOH
bacillaene_Bsub_PksL_1_KS4_zD	Clade_69	zDB
bacillaene_Bsub_PksL_3_KS6_bMeeDB	Clade_82	b_MeeDB
bacillaene_Bsub_PksL_4_KS7_Obimod_bOH	Clade_3	bimod_bOH
bacillaene_Bsub_PksM_1_KS8_zDB	Clade_69	zDB
bacillaene_Bsub_PksM_2_KS9_zDBaMe	Clade_47	aMe_eDB
